brand,car_age,price
Ford,12,10299.999999999993
Hyundai,4,38005.000000000015
Lexus,3,54598.00000000002
INFINITI,10,15500.00000000001
Audi,4,34998.99999999997
Acura,9,14798.0
Audi,8,31000.000000000015
BMW,24,7299.999999999996
Lexus,4,41927.00000000001
Tesla,5,69949.99999999999
Land,4,73896.99999999994
Aston,6,184606.00000000012
Toyota,4,53500.000000000044
Lincoln,3,61999.99999999997
Jaguar,5,47998.0
Land,12,29990.000000000007
Mercedes-Benz,4,249999.9999999998
Dodge,12,16800.000000000004
Nissan,22,10999.999999999993
Jaguar,7,68750.00000000003
Genesis,2,60000.000000000015
Chevrolet,25,4499.999999999999
BMW,5,38597.99999999997
Ford,2,58504.00000000003
Chevrolet,4,60999.999999999956
Hyundai,3,32300.000000000004
Nissan,9,13997.999999999996
Mercedes-Benz,4,59995.00000000005
BMW,10,25700.00000000002
Audi,8,21375.0
Mercedes-Benz,7,48000.00000000003
Dodge,19,10900.000000000004
BMW,5,24997.999999999993
Kia,14,5998.999999999995
Lexus,9,46899.99999999996
Jeep,8,15900.000000000004
BMW,7,33598.0
Audi,13,8999.000000000004
Hyundai,18,8200.000000000007
BMW,11,20000.000000000015
Bentley,14,79949.99999999994
Honda,2,45498.00000000002
Dodge,18,13999.999999999995
BMW,6,75797.99999999996
Lucid,3,119999.00000000006
Audi,13,36880.000000000015
Chevrolet,4,43147.00000000004
MINI,8,28999.999999999996
Toyota,9,17500.000000000015
Porsche,8,30989.99999999997
Mercedes-Benz,8,52499.99999999997
Honda,9,20848.000000000015
Hummer,20,19500.0
Porsche,12,73000.00000000003
Mercedes-Benz,9,19800.00000000001
Chrysler,16,7500.0000000000055
Nissan,2,30999.000000000022
Audi,15,6500.000000000003
Ford,11,28500.0
Acura,15,10995.000000000007
Volvo,7,41999.99999999999
Audi,7,144900.00000000012
Mercedes-Benz,11,10000.00000000001
Toyota,4,23998.000000000015
Lexus,11,20999.99999999998
BMW,2,67899.99999999999
BMW,6,69997.99999999997
Cadillac,2,46899.99999999996
Lucid,3,99000.00000000004
Audi,6,31000.000000000015
Chrysler,19,19995.00000000001
Bentley,8,130000.00000000009
BMW,6,55999.00000000001
Toyota,2,49950.000000000015
Audi,6,59950.000000000015
Porsche,6,42498.99999999999
Lamborghini,2,359990.99999999994
Maserati,6,44998.999999999985
Jaguar,8,29999.99999999999
Lexus,20,11099.99999999999
Land,5,37998.0
Porsche,10,71999.99999999996
Genesis,4,53950.00000000003
Volkswagen,2,47998.99999999998
Hyundai,10,15900.000000000004
Audi,11,44999.999999999985
BMW,13,18500.0
Mercedes-Benz,5,80000.0
BMW,9,55000.00000000004
Subaru,21,2300.0000000000005
Hyundai,2,34000.0
Kia,3,31994.99999999999
Rivian,2,92000.00000000007
Aston,4,279950.0000000002
